Date,HYG,IEF,SPY,^VIX
2012-01-03,41.533382415771484,77.67012023925781,99.31221008300781,22.969999313354492
2012-01-04,41.46395492553711,77.42578125,99.46797180175781,22.219999313354492
2012-01-05,41.28337860107422,77.44062805175781,99.73281860351562,21.479999542236328
2012-01-06,41.15379333496094,77.74422454833984,99.47576141357422,20.6299991607666
2012-01-09,41.209327697753906,77.75897979736328,99.71722412109375,21.06999969482422
2012-01-10,41.352840423583984,77.60350036621094,100.58185577392578,20.690000534057617
2012-01-11,41.311187744140625,78.05514526367188,100.63634490966797,21.049999237060547
2012-01-12,41.25564956665039,77.8922348022461,100.87782287597656,20.469999313354492
2012-01-13,41.209327697753906,78.24026489257812,100.35596466064453,20.90999984741211
2012-01-17,41.29266357421875,78.31427764892578,100.74539947509766,22.200000762939453
2012-01-18,41.40836715698242,78.06996154785156,101.85929107666016,20.889999389648438
2012-01-19,41.46858215332031,77.60350036621094,102.3967056274414,19.8700008392334
2012-01-20,41.46858215332031,77.33694458007812,102.77840423583984,18.280000686645508
2012-01-23,41.6120719909668,77.16664123535156,102.5135498046875,18.670000076293945
2012-01-24,41.71855163574219,77.25546264648438,102.3967056274414,18.90999984741211
2012-01-25,42.084259033203125,77.62568664550781,103.25353240966797,18.309999465942383
2012-01-26,42.18610763549805,78.04031372070312,102.72389221191406,18.56999969482422
2012-01-27,42.03333282470703,78.27729034423828,102.67713165283203,18.530000686645508
2012-01-30,41.89906311035156,78.54383850097656,102.32660675048828,19.399999618530273
2012-01-31,42.00556945800781,78.83997344970703,102.28768920898438,19.440000534057617
2012-02-01,42.083316802978516,78.56631469726562,103.18340301513672,18.549999237060547
2012-02-02,42.11125946044922,78.67754364013672,103.34696960449219,17.979999542236328
2012-02-03,42.232269287109375,78.05448150634766,104.7957763671875,17.100000381469727
2012-02-06,42.24158477783203,78.26960754394531,104.72570037841797,17.760000228881836
2012-02-07,42.32537841796875,77.76517486572266,104.99048614501953,17.649999618530273
2012-02-08,42.36262893676758,77.80225372314453,105.30208587646484,18.15999984741211
2012-02-09,42.38124084472656,77.6242446899414,105.43451690673828,18.6299991607666
2012-02-10,42.01347732543945,78.0619125366211,104.65557861328125,20.790000915527344
2012-02-13,42.134483337402344,78.00996398925781,105.43451690673828,19.040000915527344
2012-02-14,42.134483337402344,78.17313385009766,105.30208587646484,19.540000915527344
2012-02-15,41.999534606933594,78.23249053955078,104.81136322021484,21.139999389648438
2012-02-16,42.17640686035156,77.87650299072266,105.97198486328125,19.219999313354492
